Uwe[V],UweZakres[V],Uwy[V],UwyZakres[V]
1.36,0.2,8.4,2
7.6,1,8.4,2
16,2,8.4,2
13.6e-3,2e-3,132e-3,20e-3
45e-3,10e-3,0.44,0.1
104e-3,20e-3,1.04,0.2
132e-3,20e-3,1.32,0.2
1.28,0.2,8.4,2
